Sample #,Unique Soil ID,Set,Set ID,Soil ID,Rep,Soil.mass,SOC.mass.class,SOC.mass,mmol.Mn.reduced,mmol.C.oxidized,POXC,POXC.max.theoretical,Detectable,SOC.pct,pH,Clay.pct
166,19,UIUC,20,UIUC-20,a,1.8,15mg,74.34,0.0325,0.0244,162,2000,1,4.13,5.8,23.55
167,19,UIUC,20,UIUC-20,b,1.8,15mg,74.34,0.0631,0.0473,315,2000,1,4.13,5.8,23.55
168,19,UIUC,20,UIUC-20,c,1.8,15mg,74.34,0.0345,0.0259,172,2000,1,4.13,5.8,23.55
169,19,UIUC,20,UIUC-20,a,3.01,25mg,124.313,0.0415,0.0311,124,1196,1,4.13,5.8,23.55
170,19,UIUC,20,UIUC-20,b,3.01,25mg,124.313,0.042,0.0315,126,1196,1,4.13,5.8,23.55
171,19,UIUC,20,UIUC-20,c,3.01,25mg,124.313,0.0611,0.0458,183,1196,1,4.13,5.8,23.55
172,20,UIUC,21,UIUC-21,a,2.5,std,175.75,0.2468,0.1851,888,1440,1,7.03,5.4,12.77
173,20,UIUC,21,UIUC-21,b,2.5,std,175.75,0.2387,0.1791,859,1440,1,7.03,5.4,12.77
174,20,UIUC,21,UIUC-21,c,2.5,std,175.75,0.2573,0.193,926,1440,1,7.03,5.4,12.77
175,20,UIUC,21,UIUC-21,a,0.21,15mg,14.763,0.0104,0.0078,446,17143,1,7.03,5.4,12.77
176,20,UIUC,21,UIUC-21,b,0.21,15mg,14.763,0.044,0.033,1887,17143,1,7.03,5.4,12.77
177,20,UIUC,21,UIUC-21,c,0.21,15mg,14.763,0.0295,0.0221,1263,17143,1,7.03,5.4,12.77
178,20,UIUC,21,UIUC-21,a,0.35,25mg,24.605,0.0521,0.039,1338,10286,1,7.03,5.4,12.77
179,20,UIUC,21,UIUC-21,b,0.35,25mg,24.605,0.04,0.03,1029,10286,1,7.03,5.4,12.77
180,20,UIUC,21,UIUC-21,c,0.35,25mg,24.605,0.0566,0.0424,1455,10286,1,7.03,5.4,12.77
181,21,UIUC,22,UIUC-22,a,2.5,std,222.75,0.0999,0.075,360,1440,1,8.91,8.1,22.54
182,21,UIUC,22,UIUC-22,b,2.5,std,222.75,0.107,0.0802,385,1440,1,8.91,8.1,22.54
183,21,UIUC,22,UIUC-22,c,2.5,std,222.75,0.111,0.0832,400,1440,1,8.91,8.1,22.54
184,21,UIUC,22,UIUC-22,a,0.16,15mg,14.256,0.0125,0.0094,705,22500,1,8.91,8.1,22.54
185,21,UIUC,22,UIUC-22,b,0.16,15mg,14.256,0.015,0.0113,846,22500,1,8.91,8.1,22.54
186,21,UIUC,22,UIUC-22,c,0.16,15mg,14.256,0.014,0.0105,789,22500,1,8.91,8.1,22.54
187,21,UIUC,22,UIUC-22,a,0.28,25mg,24.948,0.0206,0.0154,661,12857,1,8.91,8.1,22.54
188,21,UIUC,22,UIUC-22,b,0.28,25mg,24.948,0.0216,0.0162,693,12857,1,8.91,8.1,22.54
189,21,UIUC,22,UIUC-22,c,0.28,25mg,24.948,0.015,0.0113,483,12857,1,8.91,8.1,22.54
190,22,UIUC,23,UIUC-23,a,2.5,std,22.25,0.0562,0.0422,202,1440,1,0.89,7.3,20.26
191,22,UIUC,23,UIUC-23,b,2.5,std,22.25,0.0693,0.052,249,1440,1,0.89,7.3,20.26
192,22,UIUC,23,UIUC-23,c,2.5,std,22.25,0.0698,0.0523,251,1440,1,0.89,7.3,20.26
193,22,UIUC,23,UIUC-23,a,1.68,15mg,14.952,0.0422,0.0316,226,2143,1,0.89,7.3,20.26
194,22,UIUC,23,UIUC-23,b,1.68,15mg,14.952,0.0386,0.029,207,2143,1,0.89,7.3,20.26
195,22,UIUC,23,UIUC-23,c,1.68,15mg,14.952,0.0422,0.0316,226,2143,1,0.89,7.3,20.26
196,22,UIUC,23,UIUC-23,a,2.8,25mg,24.92,0.0743,0.0557,239,1286,1,0.89,7.3,20.26
197,22,UIUC,23,UIUC-23,b,2.8,25mg,24.92,0.0703,0.0527,226,1286,1,0.89,7.3,20.26
198,22,UIUC,23,UIUC-23,c,2.8,25mg,24.92,0.0743,0.0557,239,1286,1,0.89,7.3,20.26
199,23,UIUC,24,UIUC-24,a,2.5,std,38.25,0.0803,0.0603,289,1440,1,1.53,6.4,2.51
200,23,UIUC,24,UIUC-24,b,2.5,std,38.25,0.0658,0.0493,237,1440,1,1.53,6.4,2.51
201,23,UIUC,24,UIUC-24,c,2.5,std,38.25,0.0844,0.0633,304,1440,1,1.53,6.4,2.51
202,23,UIUC,24,UIUC-24,a,0.98,15mg,14.994,0.0236,0.0177,217,3673,1,1.53,6.4,2.51
203,23,UIUC,24,UIUC-24,b,0.98,15mg,14.994,0.0176,0.0132,161,3673,1,1.53,6.4,2.51
204,23,UIUC,24,UIUC-24,c,0.98,15mg,14.994,0.0201,0.015,184,3673,1,1.53,6.4,2.51
205,23,UIUC,24,UIUC-24,a,1.63,25mg,24.939,0.0522,0.0392,288,2209,1,1.53,6.4,2.51
206,23,UIUC,24,UIUC-24,b,1.63,25mg,24.939,0.0552,0.0414,305,2209,1,1.53,6.4,2.51
207,23,UIUC,24,UIUC-24,c,1.63,25mg,24.939,0.0507,0.038,280,2209,1,1.53,6.4,2.51
208,24,UIUC,25,UIUC-25,a,2.5,std,200.5,0.2642,0.1981,951,1440,1,8.02,6,10.66
209,24,UIUC,25,UIUC-25,b,2.5,std,200.5,0.2823,0.2117,1016,1440,1,8.02,6,10.66
